 aa352   a5
 ef03d    0
 ef041    0
 ef044    0
 ef047    0
 ef04a    0
 ef04d    1
 ef152    1
 ef155    1
 ef158    1
 ef15b    1
 ef15e    0
 ef162    0
 ef165    0
 ef168    0
 ef16b    0
 ef16e    1
 ef273    1
 ef276    1
 ef279    1
 ef27c    0
 ef280    0
 ef283    0
 ef286    0
 ef289    0
 ef28c    1
 ef391    1
 ef394    1
 ef397    1
 ef39a    1
 ef39d    0
 ef3a1    0
 ef3a4    0
 ef3a7    0
 ef3aa    0
 ef3ad    1
 ef4b2    1
 ef4b5    1
 ef4b8    1
 ef4bb    1
 ef4be    0
 ef4c2    0
 ef4c5    0
 ef4c8    0
 ef4cb    0
 ef4ce    1
 ef5d3    1
 ef5d6    1
 ef5d9    1
 ef5dc    0
 ef5e0    0
 ef5e3    0
 ef5e6    0
 ef5e9    0
 ef5ec    1
 ef6f1    1
 ef6f4    1
 ef6f7    1
 ef6fa    1
 ef6fd    0
 ef701    0
 ef704    0
 ef707    0
 ef70a    0
 ef70d    1
 ef812    1
 ef815    1
 ef818    1
 ef81b    1
 ef81e    0
 ef822    0
 ef825    0
 ef828    0
 ef82b    0
 ef82e    1
 ef933    1
 ef936    1
 ef939    1
 ef93c    0
 ef940    0
 ef943    0
 ef946    0
 ef949    0
 ef94c    1
 efa51    1
 efa54    1
 efa57    1
 efa5a    1
 efa5d    0
 efa61    0
 efa64    0
 efa67    0
 efa6a    0
 efa6d    1
 efb72    1
 efb75    1
 efb78    1
 efb7b    1
 efb7e    0
 efb82    0
 efb85    0
 efb88    0
 efb8b    0
 efb8e    1
 efc93    1
 efc96    1
 efc99    1
 efc9c    0
 efca0    0
 efca3    0
 efca6    0
 efca9    0
 efcac    1
 efdb1    1
 efdb4    1
 efdb7    1
 efdba    1
 efdbd    0
 efdc1    0
 efdc4    0
 efdc7    0
 efdca    0
 efdcd    1
 efed2    1
 efed5    1
 efed8    1
 efedb    1
 efede    0
 efee2    0
 efee5    0
 efee8    0
 efeeb    0
 efeee    1
 efff3    9
 efff6    9
 efff9    9
 efffc    8
 f0000    8
 f0003    8
 f0006    8
 f0009    8
 f000c    9
 f0111    9
 f0114    9
 f0117    9
 f011a    9
 f011d    8
 f0121    8
 f0124    8
 f0127    8
 f012a    8
 f012d    9
 f0232    0
 f0236    0
 f0239    0
 f023c    1
 f034d    0
 f0351    0
 f0354    0
 f0357    0
 f035a    0
 f035d    1
 f046c    1
 f046f    0
 f0473    0
 f0476    0
 f0479    0
 f047c    0
 f047f    1
 f058a    1
 f058d    1
 f0590    0
 f0594    0
 f0597    0
 f059a    0
 f059d    0
 f05a0    1
 f06aa    1
 f06ad    1
 f06b0    0
 f06b4    0
 f06b7    0
 f06ba    0
 f06bd    0
 f06c0    1
 f0855    0
 f0859    0
 f085c    0
 f085f    1
 f0964    1
 f0967    1
 f096a    1
 f096d    1
 f0970    0
 f0974    0
 f0977    0
 f097a    0
 f097d    0
 f0980    1
 f0a85    1
 f0a88    1
 f0a8b    1
 f0a8e    1
 f0a91    0
 f0a95    0
 f0a98    0
 f0a9b    0
 f0a9e    0
 f0aa1    1
 f0ba6    1
 f0ba9    1
 f0bac    1
 f0baf    0
 f0bb3    0
 f0bb6    0
 f0bb9    0
 f0bbc    0
 f0bbf    1
 f0cc4    1
 f0cc7    1
 f0cca    1
 f0ccd    1
 f0cd0    0
 f0cd4    0
 f0cd7    0
 f0cda    0
 f0cdd    0
 f0ce0    1
 f0de5    1
 f0de8    1
 f0deb    1
 f0dee    1
 f0df1    0
 f0df5    0
 f0df8    0
 f0dfb    0
 f0dfe    0
 f0e01    1
 f0f06    1
 f0f09    1
 f0f0c    1
 f0f0f    0
 f0f13    0
 f0f16    0
 f0f19    0
 f0f1c    0
 f0f1f    1
 f1024    1
 f1027    1
 f102a    1
 f102d    1
 f1030    0
 f1034    0
 f1037    0
 f103a    0
 f103d    0
 f1040    1
 f1145    1
 f1148    1
 f114b    1
 f114e    1
 f1151    0
 f1155    0
 f1158    0
 f115b    0
 f115e    0
 f1161    1
 f1266    1
 f1269    1
 f126c    1
 f126f    0
 f1273    0
 f1276    0
 f1279    0
 f127c    0
 f127f    1
 f1384    1
 f1387    1
 f138a    1
 f138d    1
 f1390    0
 f1394    0
 f1397    0
 f139a    0
 f139d    0
 f13a0    1
 f14a5    1
 f14a8    1
 f14ab    1
 f14ae    1
 f14b1    0
 f14b5    0
 f14b8    0
 f14bb    0
 f14be    0
 f14c1    1
 f15c6    1
 f15c9    1
 f15cc    1
 f15cf    0
 f15d3    0
 f15d6    0
 f15d9    0
 f15dc    0
 f15df    1
 f16e4    1
 f16e7    1
 f16ea    1
 f16ed    1
 f16f0    0
 f16f4    0
 f16f7    0
 f16fa    0
 f16fd    0
 f1700    1
 f1805    1
 f1808    1
 f180b    1
 f180e    1
 f1811    0
 f1815    0
 f1818    0
 f181b    0
 f181e    0
 f1821    1
 f1926    1
 f1929    1
 f192c    1
 f192f    0
 f1933    0
 f1936    0
 f1939    0
 f193c    0
 f193f    1
 f1a44    1
 f1a47    1
 f1a4a    1
 f1a4d    1
 f1a50    0
 f1a54    0
 f1a57    0
 f1a5a    0
 f1a5d    0
 f1a60    1
 f1b71    0
 f1b75    0
 f1b78    0
 f1b7b    0
 f1b7e    0
 f1b81    1
 f1c90    1
 f1c93    0
 f1c97    0
 f1c9a    0
 f1c9d    0
 f1ca0    0
 f1ca3    1
 f1dad    1
 f1db0    1
 f1db3    0
 f1db7    0
 f1dba    0
 f1dbd    0
 f1dc0    0
 f1dc3    1
 f1ecd    1
 f1ed0    1
 f1ed3    0
 f1ed7    0
 f1eda    0
 f1edd    0
 f1ee0    0
 f1ee3    1
 f1f4c   ff
 f1f52   ff
 f2085    9
 f2088    9
 f208b    9
 f208e    9
 f2091    9
 f2094    8
 f2098    8
 f209b    8
 f209e    8
 f20a1    8
 f20a4    9
 f222c    9
 f222f    9
 f2232    8
 f2236    8
 f2239    8
 f223c    8
 f223f    8
 f2242    9
 f2347    0
 f234b    0
 f234e    0
 f2351    0
 f2354    1
 f2459    1
 f245c    1
 f245f    1
 f2462    0
 f2466    0
 f2469    0
 f246c    0
 f246f    0
 f2472    1
 f2577    1
 f257a    1
 f257d    1
 f2580    1
 f2583    0
 f2587    0
 f258a    0
 f258d    0
 f2590    0
 f2593    1
 f2698    1
 f269b    1
 f269e    1
 f26a1    1
 f26a4    0
 f26a8    0
 f26ab    0
 f26ae    0
 f26b1    0
 f26b4    1
 f27b9    1
 f27bc    1
 f27bf    1
 f27c2    0
 f27c6    0
 f27c9    0
 f27cc    0
 f27cf    0
 f27d2    1
 f28d7    1
 f28da    1
 f28dd    1
 f28e0    1
 f28e3    0
 f28e7    0
 f28ea    0
 f28ed    0
 f28f0    0
 f28f3    1
 f29f8    1
 f29fb    1
 f29fe    1
 f2a01    1
 f2a04    0
 f2a08    0
 f2a0b    0
 f2a0e    0
 f2a11    0
 f2a14    1
 f2b19    1
 f2b1c    1
 f2b1f    1
 f2b22    0
 f2b26    0
 f2b29    0
 f2b2c    0
 f2b2f    0
 f2b32    1
 f2c37    1
 f2c3a    1
 f2c3d    1
 f2c40    1
 f2c43    0
 f2c47    0
 f2c4a    0
 f2c4d    0
 f2c50    0
 f2c53    1
 f2d58    1
 f2d5b    1
 f2d5e    1
 f2d61    1
 f2d64    0
 f2d68    0
 f2d6b    0
 f2d6e    0
 f2d71    0
 f2d74    1
 f2e79    1
 f2e7c    1
 f2e7f    1
 f2e82    0
 f2e86    0
 f2e89    0
 f2e8c    0
 f2e8f    0
 f2e92    1
 f2f97    1
 f2f9a    1
 f2f9d    1
 f2fa0    1
 f2fa3    0
 f2fa7    0
 f2faa    0
 f2fad    0
 f2fb0    0
 f2fb3    1
 f30b8    1
 f30bb    1
 f30be    1
 f30c1    1
 f30c4    0
 f30c8    0
 f30cb    0
 f30ce    0
 f30d1    0
 f30d4    1
 f31d9    1
 f31dc    1
 f31df    1
 f31e2    0
 f31e6    0
 f31e9    0
 f31ec    0
 f31ef    0
 f31f2    1
 f32f7    1
 f32fa    1
 f32fd    1
 f3300    1
 f3303    0
 f3307    0
 f330a    0
 f330d    0
 f3310    0
 f3313    1
 f3418    1
 f341b    1
 f341e    1
 f3421    1
 f3424    0
 f3428    0
 f342b    0
 f342e    0
 f3431    0
 f3434    1
 f3539    1
 f353c    1
 f353f    1
 f3542    0
 f3546    0
 f3549    0
 f354c    0
 f354f    0
 f3552    1
 f3657    1
 f365a    1
 f365d    1
 f3660    1
 f3663    0
 f3667    0
 f366a    0
 f366d    0
 f3670    0
 f3673    1
 f3778    1
 f377b    1
 f377e    1
 f3781    1
 f3784    0
 f3788    0
 f378b    0
 f378e    0
 f3791    0
 f3794    1
10bdb0    1
10bdb3    1
10bdb6    1
10bdb9    1
10bdbc    0
10bdc0    0
10bdc3    0
10bdc6    0
10bdc9    0
10bdcc    1
10bed8    1
10bedb    0
10bedf    0
10bee2    0
10bee5    0
10bee8    0
10beeb    1
10bff5    1
10bff8    1
10bffb    1
10bffe    0
10c002    0
10c005    0
10c008    0
10c00b    0
10c00e    1
